 * Running on http://192.168.0.18:5000/ (Press CTRL+C to quit)
192.168.0.18 - - [10/Jan/2018 23:20:22] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:23] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:24] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:25] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:26] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:27] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:28] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:29] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:30] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:31] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:32] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:33] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:34] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:35] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:36] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:37] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:38] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:39] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:40] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:41] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:42] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:43] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:44] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:45] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:46] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:47] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:48] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:49] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:50] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:51] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:52] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:53] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:54] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:55] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:56] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:57] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:58] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:20:59] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:00] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:01] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:02] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:03] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:04] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:05] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:06] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:07] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:08] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:09] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:10] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:11] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:12] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:13] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:14] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:15] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:16] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:17] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:18] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:19] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:20] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:21] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:22] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:23] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:24] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:25] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:26] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:27] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:28] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:29] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:30] "GET /rawdata HTTP/1.1" 200 -
192.168.0.18 - - [10/Jan/2018 23:21:31] "GET /rawdata HTTP/1.1" 200 -
